1.2800000e+02_C_   1.7900000e+02_C
 -2.2819894   26.1697128
 -1.1284224   26.1697128
  0.4401199  -25.8302872
  1.9748923  -25.8302872
  2.5116588  -25.8302872
  1.5591413  -25.8302872
 -0.1521663   26.1697128
 -1.7596776   26.1697128
 -2.3335045  -25.8302872
 -1.6450694  -25.8302872
 -1.0491117   26.1697128
 -1.4810712   26.1697128
 -1.7011546  -25.8302872
 -0.8324871  -25.8302872
 -0.3899010  -25.8302872
 -1.1452034  -25.8302872
 -2.5108300  -25.8302872
 -3.9422167  -25.8302872
 -5.1619082   26.1697128
 -6.0285411   26.1697128
 -5.7344905   26.1697128
 -4.1134717   26.1697128
 -2.0615627   26.1697128
 -0.0353150   26.1697128
  1.9778582  -25.8302872
  3.4939699  -25.8302872
  3.7760288  -25.8302872
  2.6937379  -25.8302872
  0.6711106   26.1697128
 -1.3402180   26.1697128
 -1.8745899  -25.8302872
 -1.1660524  -25.8302872
 -0.8050525   26.1697128
 -1.3567231   26.1697128
 -1.6377992   26.1697128
 -0.5550075   26.1697128
  1.2226748   26.1697128
  3.1092040   26.1697128
  4.5607906  -25.8302872
  5.5455740  -25.8302872
  5.5569211   26.1697128
  4.0915025   26.1697128
  2.8544717  -25.8302872
  2.9598045  -25.8302872
  3.0134716  -25.8302872
  1.8148149  -25.8302872
 -0.0219006  -25.8302872
 -1.9385072  -25.8302872
 -3.6506182  -25.8302872
 -5.2585388  -25.8302872
 -6.5681744  -25.8302872
 -7.4806337  -25.8302872
 -8.1907317  -25.8302872
 -8.5525266  -25.8302872
 -8.9820611  -25.8302872
 -9.4461090  -25.8302872
 -9.6825413   26.1697128
 -9.8030036   26.1697128
 -8.8835792  -25.8302872
 -6.6987324  -25.8302872
 -5.3403530   26.1697128
 -5.1386587   26.1697128
 -4.3002954   26.1697128
 -2.6471493   26.1697128
 -0.5788714  -25.8302872
  1.4557162  -25.8302872
  2.0019386   26.1697128
  1.2994389   26.1697128
  0.9415153  -25.8302872
  1.2495532  -25.8302872
  1.1612985  -25.8302872
  0.1355328  -25.8302872
 -1.3678949   26.1697128
 -2.8694913   26.1697128
 -3.1441546   26.1697128
 -1.8128956   26.1697128
  0.0913809   26.1697128
  2.0424097   26.1697128
  3.5268589  -25.8302872
  4.5283858  -25.8302872
  4.5482637   26.1697128
  3.3323916   26.1697128
  2.7129047  -25.8302872
  2.8876761  -25.8302872
  2.4863222   26.1697128
  1.3010323   26.1697128
  0.6971271   26.1697128
  1.3702375   26.1697128
  2.6939872  -25.8302872
  3.8588376  -25.8302872
  3.9619289  -25.8302872
  2.5432540  -25.8302872
  0.5944391   26.1697128
 -0.8888821   26.1697128
 -1.3994343   26.1697128
 -0.6787606   26.1697128
  0.6692227   26.1697128
  2.3368201   26.1697128
  3.9220610  -25.8302872
  4.9749413  -25.8302872
  5.0209838  -25.8302872
  3.5732424  -25.8302872
  1.1192182   26.1697128
 -0.8667072   26.1697128
 -1.3881361   26.1697128
 -0.6730042   26.1697128
  0.6721555   26.1697128
  2.3383144   26.1697128
  3.9228224   26.1697128
  5.2205292   26.1697128
  6.3721108   26.1697128
  7.4492416   26.1697128
  8.2432398   26.1697128
  8.6477818   26.1697128
  9.0990960   26.1697128
  9.8194406   26.1697128
 10.1864562  -25.8302872
 10.1282506  -25.8302872
  9.1177948  -25.8302872
  6.6413677  -25.8302872
  3.9084280   26.1697128
  1.5351952   26.1697128
  0.3260331   26.1697128
  0.9359651   26.1697128
  2.2275254  -25.8302872
  3.3759754  -25.8302872
  3.4707106  -25.8302872
  2.2929782  -25.8302872
  0.4669236   26.1697128
 -1.4442513   26.1697128
 -1.9275948   26.1697128
 -0.9478584   26.1697128
  0.5321173  -25.8302872
  2.0217650  -25.8302872
  2.5355404   26.1697128
  1.8165090   26.1697128
  1.2049625  -25.8302872
